Name,Type,Description,ABV,IBU,Average_Rating,Number_of_Ratings,Date_Added,general_type
Juice Cloud,IPA  New England  Hazy,"Brewed to minimize bitterness, and maximize delicious juicy Citra Hop flavors. Big s of oats and wheat deliver nice mouthfeel and leave a lovely cloud of haze. Double dry-hopped with Citra hops leaving a clean, tropical fruit, juicy finish. ",6.3,15,4.03,6050,7/27/17,IPA
Kula Wheat,Wheat   American Pale Wheat,"Hawaiian for ""Golden"", Kula perfectly describes our American wheat ale. Crisp and refreshing, Kula Wheat is brewed with golden barley and white wheat malt then fermented with 125 fresh, ripe pineapples. ",5.6,17,3.76,1855,11/20/15,Wheat Beer
Bomb Pop Slushee,Sour  Fruited,"Inspired by America's  summer treat, this Slushee-style kettle sour  an enormous amount of real fruit including raspberry, sweet cherry, and  lime. Thick, tart, and fruity. ( lactose) ",5.3,5,4.21,1612,6/13/19,Sour
Mo' Juice,IPA  New England  Hazy,"This cloudy, juicy, New-England style IPA was bursted with Citra hops and then double dry-hopped with Mosaic hops to showcase the aromatic medley of Mosaic hops such as tangerine, papaya, grapefruit, and orange citrus. ",6.7,10,4.07,1735,12/26/17,IPA
Mile of Munich,Lager  Munich Dunkel,"""Mile of Munich"" is smooth and malty with toasted bread notes and a hint of dark chocolate. This German-style dunkel (dark) lager is loaded with German Dark Munich malt and balanced gently with German Mittelfruh hops. Our 2- cold lagering process helps this beer finish exceptionally clean with brilliant clarity. ",5.4,19,3.73,1519,12/3/15,Lager
Number 90 Red - Vienna Lager,Lager  Vienna,"Exceptionally smooth & malty. Deep red color d on ""Number 90"" the signature paint color used by Appleton's Pierce Mfg on their custom emergency vehicles. Highlights  different Vienna Malts. ",4.7,18,3.72,1480,5/15/17,Lager
Pineapple Milkshake Pale Ale,Pale Ale  Milkshake,"Hazy, New England-style Pale Ale brewed with lactose and fresh pineapple- then aged on Madagascar Vanilla beans.",5.9,10,3.99,1309,3/22/18,Pale Ale
Double Juice,IPA  Imperial  Double New England  Hazy,"We took our flagship New England IPA and DOUBLED the Citra hops for double the juice in this Double IPA! At 8.5% abv, this rich  smooth hazy  also has DOUBLE the creamy oats - and was specially brewed for minimal bitterness to let the juice shine through. ",8.5,5,4.15,1398,12/18/20,IPA
Space Cloud,IPA  New England  Hazy,"Juicy & Hazy, soft mouthfeel with restrained bitterness. New England-style IPA dry-hopped with big charges of Australian Juice-bomb Galaxy hops. Notes of candied tropical fruit with a zingy citrus zest finish. ",6.9,10,4.03,1356,12/31/17,IPA
Uecker On the Radio,IPA  Imperial  Double,"A collaboration with Madison's Youngblood Brewery, this hazy double IPA  Wai-iti, Sabro, and Lemondrop hops. Notes of tropical fruit sweetness balanced with earthy Lemongrass. This smooth-finishing IPA was brewed to minimize bitterness, and  to enjoy while listening to a living legend call the game. ",9,20,4.02,1301,7/29/20,IPA
