Name,Type,Description,ABV,IBU,Average_Rating,Number_of_Ratings,Date_Added,general_type
Juice Cloud,IPA - New England / Hazy,"Brewed to minimize bitterness, and maximize delicious juicy Citra Hop flavors. Big doses of oats and wheat deliver nice mouthfeel and leave a lovely cloud of haze. Double dry-hopped with Citra hops leaving a clean, tropical fruit, juicy finish. ",6.30,15,4.03,6050,7/27/17,IPA
Kula Wheat,Wheat Beer - American Pale Wheat,"Hawaiian for ""Golden"", Kula perfectly describes our American wheat ale. Crisp and refreshing, Kula Wheat is brewed with golden barley and white wheat malt then fermented with 125 fresh, ripe pineapples. ",5.60,17,3.76,1855,11/20/15,Wheat Beer
Bomb Pop Slushee,Sour - Fruited,"Inspired by America's favorite summer treat, this Slushee-style kettle sour features an enormous amount of real fruit including raspberry, sweet cherry, and key lime. Thick, tart, and fruity. (contains lactose) ",5.30,5,4.21,1612,6/13/19,Sour
Mo' Juice,IPA - New England / Hazy,"This cloudy, juicy, New-England style IPA was bursted with Citra hops and then double dry-hopped with Mosaic hops to showcase the aromatic medley of Mosaic hops such as tangerine, papaya, grapefruit, and orange citrus. ",6.70,10,4.07,1735,12/26/17,IPA
Mile of Munich,Lager - Munich Dunkel,"""Mile of Munich"" is smooth and malty with toasted bread notes and a hint of dark chocolate. This German-style dunkel (dark) lager is loaded with German Dark Munich malt and balanced gently with German Mittelfruh hops. Our 2-month cold lagering process helps this beer finish exceptionally clean with brilliant clarity. ",5.40,19,3.73,1519,12/3/15,Lager
Number 90 Red - Vienna Lager,Lager - Vienna,"Exceptionally smooth & malty. Deep red color based on ""Number 90"" the signature paint color used by Appleton's Pierce Mfg on their custom emergency vehicles. Highlights two different Vienna Malts. ",4.70,18,3.72,1480,5/15/17,Lager
Pineapple Milkshake Pale Ale,Pale Ale - Milkshake,"Hazy, New England-style Pale Ale brewed with lactose and fresh pineapple- then aged on Madagascar Vanilla beans.",5.90,10,3.99,1309,3/22/18,Pale Ale
Double Juice,IPA - Imperial / Double New England / Hazy,"We took our flagship New England IPA and DOUBLED the Citra hops for double the juice in this Double IPA! At 8.5% abv, this rich yet smooth hazy base also has DOUBLE the creamy oats - and was specially brewed for minimal bitterness to let the juice shine through. ",8.50,5,4.15,1398,12/18/20,IPA
Space Cloud,IPA - New England / Hazy,"Juicy & Hazy, soft mouthfeel with restrained bitterness. New England-style IPA dry-hopped with big charges of Australian Juice-bomb Galaxy hops. Notes of candied tropical fruit with a zingy citrus zest finish. ",6.90,10,4.03,1356,12/31/17,IPA
Uecker On the Radio,IPA - Imperial / Double,"A collaboration with Madison's Youngblood Brewery, this hazy double IPA features Wai-iti, Sabro, and Lemondrop hops. Notes of tropical fruit sweetness balanced with earthy Lemongrass. This smooth-finishing IPA was brewed to minimize bitterness, and made to enjoy while listening to a living legend call the game. ",9.00,20,4.02,1301,7/29/20,IPA
Mega Cherry Slushee,Sour - Fruited,"A slushee style sour thick with fruit featuring a blend of 7 different cherry varieties, Bing, Door County, Montmorency, Lambert, Van, Royal Anne, Black, and Morello cherries. CONTAINS LACTOSE. ",5.10,0,4.24,1167,5/27/20,Sour
Ekto Cool Slushee,Sour - Smoothie / Pastry,"Who ya' gonna call? This Slushee-style kettle sour features an enormous amount of real fruit including Orange, Tangerine, and a touch of lemon. The ekto green color naturally comes from chlorophyll from alfalfa leaves. Contains lactose. ",5.00,0,4.05,1081,8/7/20,Sour
Juice Mountain,IPA - Imperial / Double New England / Hazy,"Juicy & hazy, showcasing Denali hops which bring big pineapple and tropical citrus flavors. ""Juice"" is just a descriptor, this beer is made with only water, grains, hops, and yeast! ",8.00,10,3.97,1014,12/6/18,IPA
Quicksand - Oatmeal Stout,Stout - Oatmeal,"When we first brewed this beer, we stuck a thermometer in the mash to measure the temp and with all the oatmeal- the mash was so thick that the thermometer didn’t sink- it stuck straight up. A minute later when we weren’t looking the mash swallowed the thermometer up like Quicksand and the name was born (luckily it wasn’t a mercury thermometer!) Bold flavors of sweet brown sugar & rich dark roasted barley. A huge dose of toasted, flaked oats give this beer its velvety-smooth finish ",6.70,55,3.83,922,3/17/16,Stout
Pineapple Orange Banana Milkshake Pale Ale,Pale Ale - Milkshake,"Hazy, milkshake-style pale ale brewed with lactose and fresh pineapples, oranges and bananas. Conditioned on Madagascar Vanilla Beans.",5.90,5,3.83,963,4/6/19,Pale Ale
Strawberry Milkshake Pale Ale,Pale Ale - Milkshake,"Milkshake-style Pale Ale featuring over 4,000 locally-grown fresh strawberries from Oakridge Farms. Brewed with lactose and conditioned on Madagascar Vanilla Beans. ",5.90,8,3.82,911,7/19/19,Pale Ale
Juice Storm,IPA - New England / Hazy,"Hazy & juicy New England IPA, generously dry-hopped with New Zealand Nelson Sauvin, Wakatu, and Motueka Hops. Mildly sweet with melon, lime, white grape, spiced earthy notes and a zesty finish. ",6.80,0,4.04,881,3/27/20,IPA
Boundary Waters (Canadian-Style Lager),Lager - American Light,"Crisp, clean, and refreshingly nostalgic. Soft malt sweetness and a perfectly balanced crispy noble hop finish.",5.00,11,3.62,802,2/2/17,Lager
Tropic Slushee,Sour - Fruited,"Inspired by the taste of the tropics, this Slushee-style kettle sour features an enormous amount of real fruit including pineapple, mango, and passionfruit. Thick, tart, and fruity. (contains lactose) ",4.90,0,4.42,822,8/5/19,Sour
All Along the Clocktower IPA,IPA - American,"Crisp and bold, this DIPA is double dry-hopped with Centennial, Cascade, Amarillo, and Simcoe hops, giving it a big sweet lemony orange aroma with flavors of sweet citrus, grapefruit and woodsy pine. ",8.00,74,3.74,744,1/15/16,IPA
Into the Dark,Stout - American,"This bold & traditional American Stout is rich with flavors of dark chocolate, mocha, and roasted barley malt; hopped just enough to balance the malt sweetness. ",6.60,54,3.82,742,10/5/20,Stout
Zea' Cloud,IPA - New England / Hazy,"Hazy & Juicy New England IPA, generously dry-hopped with New Zealand Motueka Hops, giving this beer lemon & lime citrus and tropical fruit flavor and aroma. ",6.40,15,4.07,737,4/26/18,IPA
Imperial Maple Porter,Porter - Imperial / Double,"Rich, brown porter highlighted by LOTS of Wisconsin Maple Syrup",6.60,35,4.00,680,11/19/17,Porter
Too Caught Up,IPA - American,"""They say young is good and old is fine..."" sometimes we all find ourselves caught up chasing what's young and new- that's when it's time for a return to classic style. This IPA has intense hop aromas and flavors with balanced malt and bitterness. Featuring Michigan Centennial hops, expect vibrant lemony citrus with soft floral notes. ",6.60,59,3.73,680,11/21/18,IPA
PB Milkshake,Porter - Other,"Milkshake style Porter with milk sugar, Madagascar vanilla beans, tons of peanut butter and cocoa nibs and chocolate roasted malt. A quickly dissipating head leads to a nice thick mouthfeel of peanut butter and chocolate deliciousness. ",5.50,5,3.80,700,12/6/19,Porter
Miami Vice Slushee,Sour - Fruited,"Slushee-style sour brewed with massive amounts of real fruit. Inspired by the tropical Miami Vice cocktail, this beer is loaded with strawberry, pineapple, lime with just a hint of toasted coconut. Contains lactose. ",5.10,0,4.01,708,7/23/21,Sour
Juice Grenade,IPA - Triple,"Collaboration with Eagle Park Brewing (Milw). Triple New England IPA, dry-hopped 3 times with the 3 of the juiciest hops we’ve come across. With over 50 pounds of Citra, Galaxy, and Denali hops, this 10% abv beer is an explosion of juicy, tropical fruit hop aromas and flavors. The rich, malty base features big charges of oat and wheat flakes; which combined with suspended yeast gives this beer a soft mouthfeel despite the elevated level of alcohol. Enjoy the blast of Pineapple, Passionfruit, Citrus, and Melon that hits you with every sip. ",10.00,46,4.01,680,6/7/18,IPA
"""Kristin ~ Chocolate Cherry Bock",Bock - Single / Traditional,"Strong yet refined, this Bock marries a traditional rich and malty character with the delectable sweetness of chocolate & cherries! Kristin is named after the strong, sweet, beautiful woman that inspired this beer and made Lion’s Tail Brewing Co. a reality. Brewed with Briess Chocoloate Malt and Lagered on Door County Montmorency cherries. ",6.50,16,3.72,587,2/12/16,Bock
Alive Five Slushee,Sour - Fruited,"Every kids favorite juice growing up, this Slushee-style kettle sour features an enormous amount of real fruit including orange, lemon, grapefruit, tangerine, lime. Thick, tart, and fruity. (contains lactose) ",4.90,0,4.25,572,3/4/20,Sour
Cranked Black Tea Witbier,Wheat Beer - Witbier / Blanche,A fun play on a Belgian Witbier; rather than using coriander and orange peel we get the fruity and earthy spice character from conditioning on blackberry black tea specially blended by Wisconsin's Fava Tea Co. Brewed per tradition with 50% Belgian wheat and unfiltered. ,5.60,14,3.79,567,5/15/17,Wheat Beer
Twinkie Golden Stout,Stout - Other,"Golden stout with rich flavors of yellow cake, vanilla, and a creamy finish - inspired by one of America's favorite snacks. Collaboration with Milwaukee's Eagle Park Brewing Co. ",7.50,25,3.76,632,4/19/19,Stout
Rainbow Sherbet Slushee,Sour - Fruited,"Inspired by a frozen favorite, this Slushee-style kettle sour features an enormous amount of real fruit including blood orange, raspberry, and key lime. Thick, tart, and fruity. (contains lactose) ",4.90,0,4.18,571,2/27/20,Sour
Royale Noir,Farmhouse Ale - Saison,"Our Farmhouse Ale was brewed with Vienna, Pale, and wheat malts along with locally-harvested clover honey. We then selected French oak pinot noir barrels to age this beer in our cellar through all four seasons. Complex red wine fruit notes, light acidity balanced with a malted base and mild dry finish. ",8.50,27,3.83,531,4/8/17,Farmhouse Ale
Pucker Patch - Slushee,Sour - Fruited,"Slushee-style sour brewed with massive amounts of real fruit: Orange, Cherry, Raspberry, Lemon, and Lime. Candy fruit flavor with a tart citric finish. ",5.00,0,4.11,563,4/8/22,Sour
2018 Bourbon Trail Stout,Stout - Imperial / Double,"We brewed and started barrel-aging our 2018 Bourbon Trail Stout in 2017. Now, a year later, it has taken on the rich character of caramelized sugars from the charred oak barrel staves along with notes of tobacco, vanilla, spice, and oak from the Bulleit & Elija/Evan Bourbon held inside those barrels for years. Together with the stout's roasty base and sticky sweetness of brown sugar and molasses... this beer will warm your soul any winter. Cellar-aging will further develop this complex beer. ",9.20,40,4.05,550,11/7/18,Stout
Grapefruit Hefeweizen Radler,Shandy / Radler,Bavarian-Style Session Hefeweizen Radler with a big Ruby Red Grapefruit punch. Red & White wheat malts with subtle clove notes from the Hefe Yeast Strain. ,3.00,9,3.60,524,5/15/17,Shandy/Radler
Orange Dream Milkshake,Pale Ale - Milkshake,"Hazy, New England-style Pale Ale brewed with lactose and real Cara Cara Orange fruit- then aged on a big dose of Madagascar Vanilla beans.",5.50,5,3.96,548,5/28/21,Pale Ale
Aloha Punch Slushee,Sour - Fruited,"Every kids favorite juice growing up, this Slushee-style kettle sour features an enormous amount of real fruit including Apple, Pineapple, Passionfruit, Papaya, Guava, Orange, and Apricot . Thick, tart, and fruity. (contains lactose) ",5.00,0,4.22,545,4/27/20,Sour
Vanilla Bourbon Trail '18,Stout - Imperial / Double,"Aged 12 months in Bulleit Bourbon barrels imparting rich caramelized sugars, tobacco, spice, and oak on top of the stout's roasty base. We then added Madagascar Bourbon Vanilla Beans to the barrels for another robust layer of flavor and complexity. Cellar-aging will further develop this complex beer. ",9.20,38,3.99,534,11/16/18,Stout
Venti Is Twenty,Cream Ale,"Caramel Macchiato Cream Ale brewed with locally-roasted espresso beans, caramel malts, palm sugar, vanilla beans, cocoa nibs, and lactose. Collaboration with our friends at Eagle Park Brewing. How big is it? Venti? Large? At 7.1%, it's IMPERIAL. ",7.10,9,3.76,547,3/3/21,Cream Ale
Juice Paradise,IPA - New England / Hazy,"Juicy and hazy New England IPA with a soft mouthfeel and restrained bitterness. Featuring the tropical combination of Talus, Sabro, and Denali hops. Notes of pineapple, citrus, earthy pine, and a hint of coconut. Brewed with only malted grains, hops and yeast. ",6.90,10,3.93,534,4/9/21,IPA
We Do What We Want - Breakfast Stout,Stout - Pastry,"Pastry Stout featuring flavors of blueberry pancakes and maple syrup. Brewed with bready malts and oats, real blueberries, Wisconsin maple syrup, and vanilla beans. Contains lactose. ",6.80,13,3.91,534,10/21/21,Stout
Summer Slushee,Sour - Fruited,"We teamed up with Badger State Brewing Co. to create this perfect summer treat. A ridiculously fruited, tart, thick smoothie-style beer. This beer contains lactose for a rich smoothie-like mouthfeel. Over 750# of Oregon Blackberries and Meyer Lemon ",5.20,0,4.14,493,5/17/19,Sour
The Tail,Cream Ale,"Our easy-drinking cream ale drinks like a lager- light and balanced with a crisp finish. Light gold in color, this classic American style beer was brewed with malted barley, spelt, and oats for a just a touch of sweetness and body. Enjoy one in your backyard or on our patio at ""The Tail """,4.70,16,3.67,519,9/4/20,Cream Ale
'Tis the Slushee,Sour - Fruited,"A heavily-fruited, thick, tart slushee-style beer containing lactose and a celebration of traditional winter fruit flavors Cranberry, Orange and Plum. ",5.30,0,4.16,500,11/16/19,Sour
Key Lime Gose,Sour - Fruited Gose,"Our take on this classic style combines tangy sweetness from Florida Key Limes with sea salt, resulting in a deliciously refreshing summer beer that finishes dry and clean. Kettle-soured just long enough to bring a mild sourness for a refreshing juiciness. ",4.70,7,3.56,475,7/27/18,Sour
Raspberry Mango Slushee,Sour - Fruited,Slushee-style sour with massive amounts of real fruit including Oregon raspberries and tropical mango. Contains lactose.,5.00,2,4.20,497,10/16/20,Sour
Radioactive DIPA,IPA - Imperial / Double,"This Double IPA was double dry-hopped with Motueka, Mosaic, and Lotus hops. Expect quenching citrus flavors of lime zest and tangerines, with a bold finish of grapefruit. ",7.90,40,3.81,483,4/25/19,IPA
2017 Rocket Red IPA,IPA - American,"**** 2017 ***** ""Rocket Red"" IPA. Featuring Cascade and Amarillo hops, this red balances light malty sweetness with citrus and tropical fruit hoppiness. ",6.30,45,3.65,483,5/18/16,IPA
Strawberry Guava Slushee,Sour - Fruited,Support Breast Cancer Research as you enjoy this slushee-style sour brewed with massive amounts of real strawberry and pink guava fruit. Contains lactose. ,5.00,2,4.19,488,10/16/20,Sour
2016 Bourbon Trail Stout,Stout - Other,"We procured barrels from two of the best Bourbon Distilleries along Kentucky's famed Bourbon Trail: Willett Distillery (Bardstown, KY) & Jim Beam Distillery (Clermont, KY). Two different batches of our Oatmeal Stout were selected and used to fill these barrels that were just emptied and still dripping wet with bourbon. After aging for the better part of a year, this beer has developed a higher abv (8.0%), and has taken on smooth, delicate characters of charred American Oak, and the rich vanilla and caramel flavors of these two award-winning bourbons. ",8.00,55,4.06,422,10/20/16,Stout
Blush,Sour - Fruited Berliner Weisse,"Simple, jammy, and tart with a clean dry finish. This classic Berliner Weisse was brewed with Pilsner malt and malted wheat and then kettle-soured to a moderate tartness. This beer is blushing after being lightly conditioned on real Raspberry. ",4.50,3,3.74,479,3/15/22,Sour
Juice Lagoon,IPA - New England / Hazy,"Hazy & juicy New England IPA, generously dry-hopped with Calypso, BRU1, and Lotus hops. Citrusy aroma with tropical flavors of clementine oranges and tropic fruits and a zesty, dry finish. ",6.90,5,3.82,481,7/16/21,IPA
Mardi Gras Slushee,Sour - Fruited,"Slushee-style sour brewed with massive amounts of real fruit. Inspired by the tropical Hurricane cocktail, this beer is loaded with Cara Cara orange, key lime, passionfruit, and cherry. Contains lactose. ",5.00,0,4.17,479,7/23/21,Sour
Oktoberfest '22,Märzen,"This Märzen-Style Lager was brewed per German tradition in the month of March with all German ingredients including Pilsen, Vienna, and Munich malts and Hallertauer hops. The months-long cold lagering process lends a soft dryness to this rich, amber lager that is crisp, lightly malty, and easy-drinking. ",5.60,15,3.80,423,8/12/22,Märzen
Cherry Vanilla Milkshake,Pale Ale - Milkshake,"Decadent flavors of sweet Bing, Lambert, and Royal Ann cherries on top of creamy vanilla milkshake goodness. Contains lactose.",5.50,1,3.70,443,8/31/21,Pale Ale
Sticks & Stones Slushee,Sour - Fruited,"Slushee-style sour featuring cinnamon STICKS and an enormous amount of real STONE fruits including peach, apricot, sweet cherry, and lychee. Thick, tart, and fruity like peach pie! (contains lactose) ",4.80,0,4.13,431,1/7/20,Sour
Custom Pale Ale,Pale Ale - American,Have you ever been able to choose your own hops to bring alive a pint of pale ale with deliciously fresh hop aroma and flavors? Coming soon our CPA will allow you to be the brewer and use the modern technique of dry hopping in a French Press right in front of you on the bar top ,6.50,45,3.72,412,1/15/16,Pale Ale
